date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:38	246/246	---M--	200	added ('OK')	image/png	etag:%2255003d15-f6%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:38	470596/470596	---MCZ	200	added ('OK')	application/javascript	etag:%2272e44-555a57fc17023-gzip%22	http://templates.majesticthemes.com/recipepress/js/jquery-ui.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/jquery-ui.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:40	374/374	---M--	200	added ('OK')	image/png	etag:%2255003d15-176%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:40	371/371	---M--	200	added ('OK')	image/png	etag:%2255003d15-173%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:40	185336/185336	---M--	200	added ('OK')	image/png	etag:%222d3f8-555a547b12f75%22	http://templates.majesticthemes.com/recipepress/images/bg-corner-tomato.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/images/bg-corner-tomato.png	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:41	7006/7006	---M--	200	added ('OK')	image/png	etag:%2255003d15-1b5e%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_222222_256x240.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_222222_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:41	7092/7092	---M--	200	added ('OK')	image/png	etag:%2255003d15-1bb4%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_888888_256x240.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_888888_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:45	7071/7071	---M--	200	added ('OK')	image/png	etag:%2255003d15-1b9f%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_454545_256x240.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_454545_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:45	4599/4599	---M--	200	added ('OK')	image/png	etag:%2255003d15-11f7%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_2e83ff_256x240.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_2e83ff_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:45	4599/4599	---M--	200	added ('OK')	image/png	etag:%2255003d15-11f7%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
